Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Data:	32767	 1279	  288	 -163	  -70	   -7	 -155	 -228	 -356	  125	 -281	  257	   82	  -19	 -115	  838	 -231	  318	 -457	 -608	 -643	 -325	 -651	  328
Data:	32767	 2261	  326	 -133	  -71	  -17	 -154	 -229	 -372	   90	 -315	  240	   78	  -13	 -114	  838	 -197	  356	 -457	 -616	 -619	 -290	 -667	  286
Data:	32767	 2506	  357	  -99	  -73	  -25	 -139	 -243	 -370	   54	 -322	  179	   25	  -20	 -108	  835	 -168	  375	 -473	 -632	 -603	 -244	 -720	  279
Data:	32767	 2119	  354	  -58	  -64	  -34	 -125	 -256	 -360	   60	 -334	  151	  -21	  -42	 -111	  836	 -125	  411	 -470	 -651	 -543	 -197	 -676	  191
Data:	32767	 1526	  329	  -24	  -54	  -40	 -104	 -251	 -394	   68	 -365	  126	  -11	  -50	 -123	  818	 -130	  418	 -473	 -603	 -505	 -142	 -659	  242
Data:	32767	 1250	  293	   19	  -31	  -41	 -105	 -248	 -391	   67	 -379	  118	   -9	  -76	 -114	  827	 -125	  436	 -465	 -642	 -543	 -110	 -590	  272
Data:	31954	 1551	  263	   84	  -11	  -44	  -96	 -244	 -356	   65	 -367	   86	  -31	 -121	 -115	  820	 -112	  485	 -446	 -624	 -514	 -101	 -599	  267
Data:	 8389	 2300	  245	  137	   10	  -41	  -88	 -232	 -347	   80	 -367	   63	  -80	 -136	 -123	  815	 -112	  490	 -446	 -644	 -464	  -98	 -563	  336
Data:	-14573	 3117	  239	  177	   25	  -24	  -80	 -209	 -329	   90	 -356	   42	  -98	 -139	 -134	  812	 -148	  471	 -462	 -631	 -483	  -69	 -571	  399
Data:	-32767	 3611	  213	  198	   43	   -5	  -74	 -189	 -339	  110	 -358	   63	  -64	 -153	 -135	  811	 -188	  449	 -470	 -676	 -436	  -27	 -494	  522
Data:	-32767	 3582	  155	  208	   56	   12	  -86	 -181	 -320	  128	 -356	   78	  -36	 -161	 -118	  819	 -209	  420	 -451	 -665	 -403	  -19	 -476	  529
Data:	-32767	 3056	   51	  204	   64	   18	  -94	 -190	 -312	  113	 -363	   86	  -54	 -158	 -115	  822	 -242	  402	 -476	 -676	 -415	  -86	 -461	  492
Data:	-32767	 2163	 -108	  181	   67	   19	  -90	 -185	 -309	  116	 -352	   74	  -67	 -135	 -126	  819	 -276	  365	 -473	 -695	 -466	 -127	 -478	  523
Data:	-32767	 1032	 -315	  145	   64	   30	  -81	 -183	 -286	  116	 -327	   77	  -61	 -124	 -126	  816	 -297	  345	 -497	 -647	 -435	 -145	 -471	  542
